name,date,value
Cook Islands,1995-01-01,5211
Cook Islands,1996-01-01,5457
Cook Islands,1997-01-01,5827
Cook Islands,1998-01-01,6430
Cook Islands,1999-01-01,6910
Cook Islands,2000-01-01,7935
Cook Islands,2001-01-01,10405
Cook Islands,2002-01-01,9311
Cook Islands,2003-01-01,8773
Cook Islands,2004-01-01,10654
Cook Islands,2005-01-01,12385
Cook Islands,2006-01-01,11623
Cook Islands,2007-01-01,12190
Cook Islands,2008-01-01,10752
Cook Islands,2009-01-01,12417
Cook Islands,2010-01-01,9826
Cook Islands,2011-01-01,11018
Cook Islands,2012-01-01,8230
Cook Islands,2013-01-01,7639
Cook Islands,2014-01-01,7868
Cook Islands,2015-01-01,8123
Cook Islands,2016-01-01,8307
Cook Islands,2017-01-01,10059
Cook Islands,2018-01-01,8906
Federated State of Micronesia,1995-01-01,2657
Federated State of Micronesia,1996-01-01,2948
Federated State of Micronesia,1997-01-01,2414
Federated State of Micronesia,1998-01-01,3286
Federated State of Micronesia,1999-01-01,3279
Federated State of Micronesia,2000-01-01,4125
Federated State of Micronesia,2001-01-01,5550
Federated State of Micronesia,2002-01-01,4476
Federated State of Micronesia,2003-01-01,5945
Federated State of Micronesia,2004-01-01,4751
Federated State of Micronesia,2005-01-01,2605
Federated State of Micronesia,2006-01-01,1712
Federated State of Micronesia,2007-01-01,1787
Federated State of Micronesia,2008-01-01,1415
Federated State of Micronesia,2009-01-01,2029
Federated State of Micronesia,2010-01-01,2986
Federated State of Micronesia,2011-01-01,3653
Federated State of Micronesia,2012-01-01,3528
Federated State of Micronesia,2013-01-01,1922
Federated State of Micronesia,2014-01-01,783
Federated State of Micronesia,2015-01-01,821
Federated State of Micronesia,2016-01-01,1127
Federated State of Micronesia,2017-01-01,1252
Federated State of Micronesia,2018-01-01,1248
Fiji,1995-01-01,140997
Fiji,1996-01-01,140448
Fiji,1997-01-01,155093
Fiji,1998-01-01,161402
Fiji,1999-01-01,166169
Fiji,2000-01-01,182891
Fiji,2001-01-01,185922
Fiji,2002-01-01,218104
Fiji,2003-01-01,218616
Fiji,2004-01-01,247458
Fiji,2005-01-01,231546
Fiji,2006-01-01,256781
Fiji,2007-01-01,243135
Fiji,2008-01-01,238010
Fiji,2009-01-01,229767
Fiji,2010-01-01,254037
Fiji,2011-01-01,250256
Fiji,2012-01-01,272962
Fiji,2013-01-01,276411
Fiji,2014-01-01,277667
Fiji,2015-01-01,270656
Fiji,2016-01-01,295209
Fiji,2017-01-01,294501
Fiji,2018-01-01,355777
French Polynesia,1995-01-01,21446
French Polynesia,1996-01-01,45572
French Polynesia,1997-01-01,37882
French Polynesia,1998-01-01,45378
French Polynesia,1999-01-01,46298
French Polynesia,2000-01-01,50108
French Polynesia,2001-01-01,49327
French Polynesia,2002-01-01,52264
French Polynesia,2003-01-01,45161
French Polynesia,2004-01-01,41695
French Polynesia,2005-01-01,37958
French Polynesia,2006-01-01,38441
