DATAFLOW,FREQ: Frequency,INDICATOR: Indicator,IMPORTER: Importer,EXPORTER: Exporter,COMMODITY: Commodity,TIME_PERIOD: Time,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1995,13,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1996,29,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1997,19,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1998,28,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1999,35,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2000,34,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2001,31,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2002,29,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2003,48,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2004,58,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2005,85,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2006,91,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2007,72,TON: tonnes,,,,
