name,commodity,date,value
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,66
Tonga,Tobacco and manufactured tobacco substitutes,2018-01-01,10
Vanuatu,"Cereal, flour, starch, milk preparations and products",2018-01-01,253
Kiribati,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,29
New Caledonia,"Vegetable, fruit, nut, etc food preparations",2018-01-01,890
Nauru,"Vegetable, fruit, nut, etc food preparations",2018-01-01,128
Federated State of Micronesia,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,0
Niue,Edible vegetables and certain roots and tubers,2018-01-01,22
Papua New Guinea,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,14104
Vanuatu,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,1206
Samoa,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,940
Fiji,"Coffee, tea, mate and spices",2018-01-01,223
New Caledonia,Cereals,2018-01-01,35843
Vanuatu,Sugars and sugar confectionery,2018-01-01,844
Cook Islands,"Beverages, spirits and vinegar",2018-01-01,2522
Fiji,Cocoa and cocoa preparations,2018-01-01,444
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,892
Samoa,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,56
Nauru,"Beverages, spirits and vinegar",2018-01-01,2109
Cook Islands,"Meat, fish and seafood food preparations nes",2018-01-01,351
Kiribati,Miscellaneous edible preparations,2018-01-01,218
Nauru,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,24
Solomon Islands,Meat and edible meat offal,2018-01-01,7994
Samoa,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,7528
Kiribati,"Cereal, flour, starch, milk preparations and products",2018-01-01,67
French Polynesia,Meat and edible meat offal,2018-01-01,5032
Cook Islands,"Vegetable, fruit, nut, etc food preparations",2018-01-01,815
Niue,Cocoa and cocoa preparations,2018-01-01,3
Papua New Guinea,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,2925
Niue,"Coffee, tea, mate and spices",2018-01-01,5
Tonga,Cocoa and cocoa preparations,2018-01-01,27
Federated State of Micronesia,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,176
Vanuatu,Miscellaneous edible preparations,2018-01-01,427
Papua New Guinea,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,7853
New Caledonia,"Beverages, spirits and vinegar",2018-01-01,552
Solomon Islands,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,2225
French Polynesia,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,375
French Polynesia,Sugars and sugar confectionery,2018-01-01,5756
Niue,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,21
Solomon Islands,Sugars and sugar confectionery,2018-01-01,5878
Solomon Islands,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,1279
Vanuatu,Cereals,2018-01-01,12
New Caledonia,Miscellaneous edible preparations,2018-01-01,657
Tonga,"Meat, fish and seafood food preparations nes",2018-01-01,500
French Polynesia,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,5425
Solomon Islands,Miscellaneous edible preparations,2018-01-01,290
French Polynesia,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,911
Nauru,Miscellaneous edible preparations,2018-01-01,125
Marshall Islands,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,0
Wallis and Futuna Islands,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,195
New Caledonia,"Meat, fish and seafood food preparations nes",2018-01-01,393
New Caledonia,"Cereal, flour, starch, milk preparations and products",2018-01-01,1799
Wallis and Futuna Islands,Cocoa and cocoa preparations,2018-01-01,1
Vanuatu,Meat and edible meat offal,2018-01-01,5248
Cook Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,193
Niue,Tobacco and manufactured tobacco substitutes,2018-01-01,0
French Polynesia,Miscellaneous edible preparations,2018-01-01,422
Federated State of Micronesia,"Coffee, tea, mate and spices",2018-01-01,0
Solomon Islands,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,430
Marshall Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,3
Fiji,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,749
Marshall Islands,Cocoa and cocoa preparations,2018-01-01,0
Vanuatu,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,1867
Fiji,"Meat, fish and seafood food preparations nes",2018-01-01,751
Wallis and Futuna Islands,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,51
Samoa,"Coffee, tea, mate and spices",2018-01-01,107
Nauru,Tobacco and manufactured tobacco substitutes,2018-01-01,27
Papua New Guinea,Miscellaneous edible preparations,2018-01-01,5059
Samoa,Edible vegetables and certain roots and tubers,2018-01-01,3294
Federated State of Micronesia,Sugars and sugar confectionery,2018-01-01,143
Solomon Islands,Cereals,2018-01-01,21215
Wallis and Futuna Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,96
New Caledonia,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,3955
Samoa,Sugars and sugar confectionery,2018-01-01,294
Kiribati,"Beverages, spirits and vinegar",2018-01-01,79
Niue,"Beverages, spirits and vinegar",2018-01-01,212
Cook Islands,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,801
Nauru,Edible vegetables and certain roots and tubers,2018-01-01,460
Nauru,Sugars and sugar confectionery,2018-01-01,326
Cook Islands,Cocoa and cocoa preparations,2018-01-01,47
Kiribati,"Vegetable, fruit, nut, etc food preparations",2018-01-01,57
Vanuatu,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,455
French Polynesia,Cereals,2018-01-01,603
Papua New Guinea,Edible vegetables and certain roots and tubers,2018-01-01,6510
Tonga,Cereals,2018-01-01,14
Tonga,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,106
Niue,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,1
Wallis and Futuna Islands,Meat and edible meat offal,2018-01-01,130
Federated State of Micronesia,Tobacco and manufactured tobacco substitutes,2018-01-01,2
Papua New Guinea,"Cereal, flour, starch, milk preparations and products",2018-01-01,4422
Federated State of Micronesia,Edible vegetables and certain roots and tubers,2018-01-01,13
Cook Islands,Cereals,2018-01-01,23
Solomon Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,38
Fiji,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,5416
Fiji,Tobacco and manufactured tobacco substitutes,2018-01-01,10
Marshall Islands,Tobacco and manufactured tobacco substitutes,2018-01-01,2
Marshall Islands,Sugars and sugar confectionery,2018-01-01,0
Tonga,"Coffee, tea, mate and spices",2018-01-01,13
Marshall Islands,Edible vegetables and certain roots and tubers,2018-01-01,21
Papua New Guinea,Tobacco and manufactured tobacco substitutes,2018-01-01,5
Wallis and Futuna Islands,"Coffee, tea, mate and spices",2018-01-01,0
Fiji,Edible vegetables and certain roots and tubers,2018-01-01,43421
Fiji,"Beverages, spirits and vinegar",2018-01-01,3028
Niue,"Meat, fish and seafood food preparations nes",2018-01-01,52
French Polynesia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,94
Cook Islands,"Coffee, tea, mate and spices",2018-01-01,37
Cook Islands,Meat and edible meat offal,2018-01-01,644
New Caledonia,Sugars and sugar confectionery,2018-01-01,3022
Solomon Islands,"Coffee, tea, mate and spices",2018-01-01,117
Solomon Islands,"Meat, fish and seafood food preparations nes",2018-01-01,469
Vanuatu,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,1
Papua New Guinea,Sugars and sugar confectionery,2018-01-01,3484
Samoa,Miscellaneous edible preparations,2018-01-01,942
Tonga,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,25
Tonga,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,3140
Federated State of Micronesia,Miscellaneous edible preparations,2018-01-01,49
Nauru,"Cereal, flour, starch, milk preparations and products",2018-01-01,119
French Polynesia,"Meat, fish and seafood food preparations nes",2018-01-01,668
Samoa,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,507
Tonga,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,148
Wallis and Futuna Islands,"Meat, fish and seafood food preparations nes",2018-01-01,196
French Polynesia,"Coffee, tea, mate and spices",2018-01-01,46
Kiribati,Sugars and sugar confectionery,2018-01-01,445
New Caledonia,Edible vegetables and certain roots and tubers,2018-01-01,4547
Vanuatu,"Vegetable, fruit, nut, etc food preparations",2018-01-01,893
Federated State of Micronesia,"Beverages, spirits and vinegar",2018-01-01,66
New Caledonia,Tobacco and manufactured tobacco substitutes,2018-01-01,95
Samoa,"Beverages, spirits and vinegar",2018-01-01,775
Kiribati,Edible vegetables and certain roots and tubers,2018-01-01,234
Tonga,Meat and edible meat offal,2018-01-01,2297
Niue,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,22
Cook Islands,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,1244
Kiribati,Tobacco and manufactured tobacco substitutes,2018-01-01,42
Federated State of Micronesia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,0
Solomon Islands,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,334
Wallis and Futuna Islands,"Beverages, spirits and vinegar",2018-01-01,90
