date,commodity,value
1995-01-01,"Animal,vegetable fats and oils, cleavage products, et",15149
1995-01-01,"Beverages, spirits and vinegar",18733
1995-01-01,"Cereal, flour, starch, milk preparations and products",8588
1995-01-01,Cereals,192976
1995-01-01,Cocoa and cocoa preparations,886
1995-01-01,"Coffee, tea, mate and spices",576
1995-01-01,"Dairy products, eggs, honey, edible animal product nes",26089
1995-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",6988
1995-01-01,Edible vegetables and certain roots and tubers,36928
1995-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",6197
1995-01-01,Meat and edible meat offal,82535
1995-01-01,"Meat, fish and seafood food preparations nes",3613
1995-01-01,"Milling products, malt, starches, inulin, wheat glute",27365
1995-01-01,Miscellaneous edible preparations,6941
1995-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",8315
1995-01-01,Sugars and sugar confectionery,19312
1995-01-01,Tobacco and manufactured tobacco substitutes,1577
1995-01-01,"Vegetable, fruit, nut, etc food preparations",9304
1996-01-01,"Animal,vegetable fats and oils, cleavage products, et",14302
1996-01-01,"Beverages, spirits and vinegar",19369
1996-01-01,"Cereal, flour, starch, milk preparations and products",8689
1996-01-01,Cereals,208408
1996-01-01,Cocoa and cocoa preparations,922
1996-01-01,"Coffee, tea, mate and spices",679
1996-01-01,"Dairy products, eggs, honey, edible animal product nes",28396
1996-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",8848
1996-01-01,Edible vegetables and certain roots and tubers,40132
1996-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",5807
1996-01-01,Meat and edible meat offal,86333
1996-01-01,"Meat, fish and seafood food preparations nes",3822
1996-01-01,"Milling products, malt, starches, inulin, wheat glute",40266
1996-01-01,Miscellaneous edible preparations,6735
1996-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",5841
1996-01-01,Sugars and sugar confectionery,32289
1996-01-01,Tobacco and manufactured tobacco substitutes,1683
1996-01-01,"Vegetable, fruit, nut, etc food preparations",9799
1997-01-01,"Animal,vegetable fats and oils, cleavage products, et",10701
1997-01-01,"Beverages, spirits and vinegar",18137
1997-01-01,"Cereal, flour, starch, milk preparations and products",9553
1997-01-01,Cereals,236616
1997-01-01,Cocoa and cocoa preparations,967
1997-01-01,"Coffee, tea, mate and spices",782
1997-01-01,"Dairy products, eggs, honey, edible animal product nes",30032
1997-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",8172
1997-01-01,Edible vegetables and certain roots and tubers,50040
1997-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",8566
1997-01-01,Meat and edible meat offal,84479
