name,commodity,date,value
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1995-01-01,13
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1996-01-01,29
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1997-01-01,19
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1998-01-01,28
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1999-01-01,35
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2000-01-01,34
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2001-01-01,31
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2002-01-01,29
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2003-01-01,48
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2004-01-01,58
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2005-01-01,85
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2006-01-01,91
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2007-01-01,72
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2008-01-01,67
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2009-01-01,62
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2010-01-01,49
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2011-01-01,46
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2012-01-01,42
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2013-01-01,47
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2014-01-01,42
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2015-01-01,61
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2016-01-01,63
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2017-01-01,53
Cook Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,66
Marshall Islands,"Coffee, tea, mate and spices",1995-01-01,0
Marshall Islands,"Coffee, tea, mate and spices",1996-01-01,0
Marshall Islands,"Coffee, tea, mate and spices",1997-01-01,0
Marshall Islands,"Coffee, tea, mate and spices",1999-01-01,0
Marshall Islands,"Coffee, tea, mate and spices",2001-01-01,0
Marshall Islands,"Coffee, tea, mate and spices",2002-01-01,0
Marshall Islands,"Coffee, tea, mate and spices",2003-01-01,1
Marshall Islands,"Coffee, tea, mate and spices",2004-01-01,0
Marshall Islands,"Coffee, tea, mate and spices",2005-01-01,0
